"ID"	"logFC"	"P.Value"
"A_55_P1975385"	"0.0547340612"	"0.0785506938"
"A_30_P01021748"	"0.1395096819"	"0.1110347925"
"A_30_P01028040"	"0.8963780096"	"1.55609088664467E-011"
"A_30_P01019706"	"0.1193132747"	"0.288600738"
"A_55_P2378129"	"0.2492864915"	"0.2005015212"
"A_66_P104814"	"0.1221275387"	"0.0466859055"
"A_55_P2037162"	"0.097380136"	"0.45323836"
"A_30_P01024721"	"0.1988764561"	"0.6176628752"
"A_51_P396917"	"0.4255178594"	"2.72597088669795E-009"
"A_55_P1994388"	"0.0497504886"	"0.1250288431"
"A_52_P180826"	"0.1142503206"	"8.99647720267792E-006"
"A_30_P01029756"	"0.1497120729"	"0.2293122248"
"A_55_P2171993"	"0.053641247"	"0.7664959361"
"A_55_P2424060"	"0.166818792"	"0.031938956"
"A_30_P01021083"	"0.2256573876"	"0.0035717664"
"A_30_P01030360"	"0.2068918335"	"0.0894714609"
"A_55_P2139889"	"0.0651144406"	"0.2125839551"
"A_66_P135804"	"0.0489002547"	"0.0333995568"
"A_55_P2002743"	"0.3070830446"	"0.0011256651"
"A_51_P109835"	"0.0600867313"	"0.2405353379"
"A_30_P01025358"	"0.307142078"	"0.168996149"
"A_51_P249867"	"0.0623405594"	"0.0224655948"
"A_30_P01023722"	"0.1282823325"	"0.5848276928"
"A_55_P2178803"	"0.0410255271"	"0.301773649"
"A_52_P683336"	"0.152052096"	"0.0768001611"
"A_55_P2143025"	"0.7005241968"	"7.32325593346959E-011"
"A_55_P2092310"	"0.5961734284"	"9.39607005267505E-007"
"A_30_P01022686"	"0.0867693184"	"0.3884292404"
"A_55_P2224830"	"0.3234177525"	"2.03336158590669E-006"
"A_30_P01018995"	"0.0881724193"	"0.7430200242"
"A_51_P111462"	"0.0933087423"	"0.0044493888"
"A_55_P2039681"	"0.336940894"	"0.008750955"
"A_55_P2062632"	"0.5734904442"	"0.1752541343"
"A_55_P1968774"	"0.3488632604"	"0.1500918403"
"A_55_P1984481"	"0.1966050385"	"0.0713534833"
"A_55_P2444515"	"1.2012215522"	"2.76208389302355E-012"
"A_66_P111430"	"0.4754392334"	"0.000120175"
"A_52_P373666"	"0.0667492968"	"0.5424283943"
"A_30_P01026733"	"0.1263304004"	"0.1780281353"
"A_52_P258338"	"0.1311665172"	"0.6778315665"
"A_51_P487933"	"0.0748532885"	"8.12793827114664E-005"
"A_51_P134923"	"0.3740845374"	"0.0704220225"
"A_52_P98232"	"0.0471831467"	"0.3159822901"
"A_55_P1971679"	"0.6316888674"	"0.1789631036"
"A_51_P440568"	"0.1484556311"	"0.000011732"
"A_51_P496845"	"0.2310080892"	"1.60753194248764E-007"
"A_55_P2071536"	"0.0895283842"	"0.0405741356"
"A_55_P2120254"	"0.0712575601"	"0.0029684408"
"A_51_P255304"	"1.8990248507"	"4.44350339681826E-019"
"A_51_P184321"	"0.1194449513"	"1.78698189274959E-007"
"A_30_P01031250"	"0.1289288465"	"0.3981752997"
"A_52_P383653"	"0.6336009673"	"3.53635982603878E-006"
"A_52_P545831"	"0.0259464151"	"0.9499162948"
"A_55_P2015410"	"0.0980050479"	"2.75119454774508E-007"
"A_55_P2112235"	"0.0805962484"	"0.0283539979"
"A_51_P115178"	"0.2775959886"	"7.9750524429496E-005"
"A_51_P313761"	"0.014444786"	"0.4691881899"
"A_30_P01022341"	"0.1710063429"	"0.338730402"
"A_51_P115626"	"0.3892802782"	"8.84467668995933E-007"
"A_55_P2005555"	"0.3252355587"	"0.0001044577"
"A_55_P1981739"	"0.1993432489"	"0.0043651951"
"A_55_P2021953"	"0.3964582769"	"0.3922886747"
"A_55_P2227178"	"0.3893833172"	"0.0132930134"
"A_30_P01031167"	"0.0935206063"	"0.0877030278"
"A_51_P372172"	"0.4506517517"	"5.51785207956647E-010"
