ID,logFC,P.Value
gene_889,0.0750687285,0.0635217114
gene_11559,0.1313176075,0.0635482204
gene_3111,-0.5234199274,0.0044784927
gene_1058,0.7242485538,0.0635603074
gene_8640,-0.0646729876,0.066104613
gene_16580,0.8909686484,0.064612691
gene_13682,-0.5416861193,0.0641283697
gene_17075,-0.2785974975,0.0577449002
gene_7110,-1.5570344148,0.0587929155
gene_9777,-0.1271156647,0.0656621353
gene_6929,0.3433293698,0.0421383674
gene_16479,-0.1584135866,0.0616680658
gene_5485,0.0703323066,0.0654233478
gene_2884,0.375074539,0.0510603333
gene_14292,0.7265771357,0.0606882561
gene_5280,-0.4718926653,0.064713235
gene_4984,0.4849682607,0.0641190824
gene_5568,0.6039650546,0.0652038451
gene_6612,-0.0508405876,0.0607344465
gene_14664,0.3990634237,0.067281592
gene_16365,0.6215789277,0.0277645517
gene_5147,0.1625183196,0.0554200662
gene_8528,0.5300142261,0.0661725105
gene_13013,-0.0568205621,0.0670185996
gene_4939,0.1834961901,0.0639315748
gene_1086,1.0378329822,0.0632816657
gene_4831,-0.1763311185,0.068675939
gene_14002,0.5678343336,0.0317606602
gene_4019,1.1170920098,0.0388045779
gene_9710,-1.2002960748,0.051936014
gene_14211,0.4072890115,0.0608566595
gene_782,0.5770810826,0.0641231727
gene_10532,1.2692816829,0.009450645
gene_1894,-0.3078067089,0.0448298529
gene_8161,0.7912961375,0.0519722794
gene_2160,0.5643348819,0.0284051244
gene_8464,0.5725301117,0.0660445302
gene_2322,0.3012059997,0.0683692363
gene_6115,0.5813973492,0.0628478414
gene_9138,-0.2002528986,0.0682360927
gene_8752,0.7766348187,0.0676635769
gene_1977,0.5472173192,0.0667414736
gene_14966,-0.3172042976,0.0598933353
gene_1701,0.4161278122,0.0653008418
gene_49,0.7388524107,0.0385753376
gene_6559,-0.3665262686,0.0646018452
gene_11158,0.3937394927,0.0704617786
gene_17712,-0.6625414015,0.0671426773
gene_9942,0.5959174137,0.0471855976
gene_7806,-0.0197590805,0.0712707497
gene_12470,0.0799874022,0.0664708941
gene_6799,-0.3640814552,0.0410160391
gene_4018,1.1771034886,0.0282703269
gene_15478,0.9260729304,0.01378126
gene_4835,-0.4423338481,0.0307096241
gene_12747,-0.2373369488,0.0659226895
gene_4347,0.7034583474,0.0467914932
gene_14261,0.1219029964,0.0702816093
gene_12997,-0.4837406903,0.0607377709
gene_11115,0.7514518168,0.0427646324
gene_4222,0.5500295263,0.0710021994
gene_971,0.659476606,0.0664041693
gene_1447,1.3279379467,0.0056049327
gene_6632,0.586698016,0.0422424107
gene_8843,-0.1237818058,0.0707839972
gene_423,-0.1667648606,0.0318076803
gene_13793,-0.1198766342,0.0660178499
gene_1998,-0.4364955289,0.070314116
gene_17775,-0.1449728469,0.0736578612
gene_1304,-0.2184511441,0.056735647
gene_11183,0.326356834,0.0721124108
gene_3389,0.695285665,0.0739656214
gene_17646,0.7733174188,0.074101397
gene_12860,0.4196584558,0.073324635
